Ranking,Team,Matches Played,WorldCup Wins
1,Germany,106,66
2,Brazil,104,70
3,Belgium,41,14
4,Portugal,26,13
5,Argentina,77,42
6,France,59,28
7,Switzerland,33,11
8,Spain,59,29
9,Russia,40,17
10,Japan,17,4
11,Polland,31,15
12,Korea Republic,31,5
13,England,62,26
14,Denmark,16,8
15,Peru,15,4
16,Tunisia,12,1
17,Mexico,53,14
18,Colombia,18,7
19,Uruguay,51,20
20,Croatia,16,7
21,Australia,13,2
22,Iceland,0,0
23,Sweden,46,16
24,Costa Rica,15,5
25,Senegal,5,2
26,Serbia,43,17
27,Morrocco,13,2
28,Egypt,4,0
29,Nigeria,18,5
30,Saudi Arabia,13,2
31,Panama,0,0
32,Iran,12,1
